,id,host_id,neighbourhood_group,neighbourhood,room_type,price,latitude,longitude,minimum_nights,number_of_reviews,availability_365,host_name
13991,36295337,272765053,Centro,Palacio,Private room,12,40.42038,-3.7090300000000003,1,60,349,Alojamientos Magic Sol
13998,36298898,272765053,Centro,Palacio,Private room,12,40.420320000000004,-3.70911,1,47,363,Alojamientos Magic Sol
14000,36299495,272765053,Centro,Sol,Private room,12,40.41868,-3.7073699999999996,1,47,363,Alojamientos Magic Sol
18399,43175220,272765053,Centro,Palacio,Private room,12,40.42035,-3.7083,1,8,360,Alojamientos Magic Sol
18411,43175665,272765053,Centro,Sol,Private room,12,40.41864,-3.7077199999999997,1,6,363,Alojamientos Magic Sol
11358,32929468,901218,Centro,Cortes,Private room,13,40.41624,-3.6960800000000003,1,35,339,Myrko
11447,33125228,901218,Centro,Cortes,Private room,13,40.41705,-3.6975300000000004,1,7,357,Myrko
3274,13343704,5542111,Centro,Universidad,Private room,14,40.42113,-3.7027400000000004,1,205,357,Melvin Enrique
615,1628485,901218,Centro,Cortes,Private room,14,40.41785,-3.6976199999999997,1,183,350,Myrko
5040,18149091,5542111,Centro,Universidad,Private room,14,40.42127,-3.7028,1,162,359,Melvin Enrique
2082,8266709,3524291,Centro,Universidad,Private room,15,40.42521,-3.7039800000000005,1,367,6,Luis
3042,12510313,38098725,Centro,Embajadores,Private room,15,40.412440000000004,-3.70301,1,222,180,4 Bears
2032,8045805,42484564,Centro,Universidad,Private room,15,40.430209999999995,-3.7122900000000003,1,75,222,Paola
1941,7624956,7156044,Centro,Embajadores,Private room,15,40.40992,-3.70445,1,9,0,Kelly
14338,37047656,186466293,Centro,Sol,Private room,15,40.41992,-3.7058400000000002,1,6,0,Paula
1235,4677274,3524291,Centro,Universidad,Private room,16,40.42472,-3.7044099999999998,1,356,3,Luis
8290,24765780,32472542,Centro,Palacio,Private room,16,40.41665,-3.7101599999999997,1,76,90,Parsa
8650,26024376,3524291,Centro,Universidad,Private room,16,40.42474,-3.7025900000000003,1,70,0,Luis
10139,29841889,211679947,Centro,Justicia,Private room,16,40.42674,-3.70126,1,68,80,Richard
1236,4677276,3524291,Centro,Universidad,Private room,17,40.42354,-3.7023699999999997,1,387,3,Luis
10402,30463100,118213727,Centro,Universidad,Private room,17,40.42422,-3.70278,1,103,0,Marinela
10565,30889547,171979103,Centro,Justicia,Private room,17,40.41995,-3.69666,1,76,365,Alex
17324,42044421,286514428,Centro,Cortes,Private room,17,40.4117,-3.6951699999999996,1,34,351,Damián Francisco
3477,13744939,80486475,Centro,Cortes,Private room,17,40.41261,-3.6954300000000004,1,6,0,Paulina
3271,13341044,5542111,Centro,Universidad,Private room,18,40.4203,-3.70149,1,224,339,Melvin Enrique
1035,3717049,901218,Centro,Cortes,Private room,18,40.41616,-3.6961199999999996,1,105,365,Myrko
3670,14249577,901218,Centro,Cortes,Private room,18,40.41596,-3.6972699999999996,1,98,365,Myrko
5442,18922191,131888322,Centro,Palacio,Private room,18,40.410090000000004,-3.71193,1,66,29,Descanso Y Tranquilidad
11338,32868883,901218,Centro,Cortes,Private room,18,40.41798,-3.69804,1,51,274,Myrko
1528,6160263,901218,Centro,Cortes,Private room,18,40.41605,-3.69761,1,43,365,Myrko
11505,33302178,901218,Centro,Cortes,Private room,18,40.41741,-3.69809,1,42,365,Myrko
17416,42138809,286514428,Centro,Cortes,Private room,18,40.41147,-3.6965800000000004,1,28,348,Damián Francisco
9458,28042269,901218,Centro,Cortes,Private room,18,40.41623,-3.6964599999999996,1,26,361,Myrko
11086,32181969,48397028,Centro,Embajadores,Private room,18,40.41345,-3.7014099999999996,1,25,0,Giorgio
14735,37986497,174460397,Centro,Sol,Private room,18,40.41637,-3.7023300000000003,1,8,87,Parsa
14368,37079346,241425910,Centro,Embajadores,Private room,18,40.406240000000004,-3.7071,1,6,0,Emilie
1956,7689476,14629836,Centro,Universidad,Private room,19,40.42138,-3.70649,1,404,364,Edu
1238,4677743,3524291,Centro,Universidad,Private room,19,40.42492,-3.70371,1,340,4,Luis
12232,34636625,64636177,Centro,Palacio,Private room,19,40.415420000000005,-3.7114300000000005,1,94,338,Diego
9459,28042547,901218,Centro,Cortes,Private room,19,40.41641,-3.6958699999999998,1,13,361,Myrko
19210,44033855,349146780,Centro,Cortes,Private room,19,40.41398,-3.7004300000000003,1,10,0,Hge
9803,28904705,901218,Centro,Cortes,Private room,19,40.41749,-3.69595,1,8,361,Myrko
18867,43725200,349146780,Centro,Sol,Private room,19,40.41533,-3.7021,1,8,0,Hge
